Пол;Возраст;Зарплата;Ищет работу на должность;Город;Занятость;График;Опыт;Последнее/нынешнее место работы;Последняя/нынешняя должность;Выполняемые задачи на прошлых местах работ;Обо мне;Ключевые навыки;Образование и ВУЗ
М;30;110000;AI Renewable Energy Analyst;Бишкек;Полная занятость;Полный рабочий день;2 года 6 месяцев;EcoPower Insights;AI Renewable Energy Analyst;Анализ данных о возобновляемых источниках энергии, оптимизация энергетических систем, улучшение эффективности.;Специалист по анализу данных в области возобновляемой энергетики.;Python, Energy Analytics, устойчивая энергетика;Высшее образование, Кыргызский Государственный Университет.
Ж;29;84000;AI Virtual Reality Developer;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;VRInnovate Labs;AI Virtual Reality Developer;Разработка виртуальных миров и приложений с использованием технологий AI, создание уникального пользовательского опыта.;Разработчик виртуальной реальности с опытом в VR-технологиях.;Python, VR Development, виртуальная реальность;Высшее образование, Ташкентский Государственный Университет.
М;31;120000;AI Disaster Response Coordinator;Душанбе;Полная занятость;Полный рабочий день;3 года;DisasterTech Coordination;AI Disaster Response Coordinator;Координация действий по управлению чрезвычайными ситуациями с использованием технологий AI, анализ данных для принятия решений.;Специалист по чрезвычайным ситуациям с опытом в анализе данных и координации.;Python, Disaster Management, кризисное управление;Высшее образование, Таджикский Национальный Университет.
Ж;28;76000;AI Language Processing Specialist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 3 месяца;LingoTech Solutions;AI Language Processing Specialist;Разработка алгоритмов обработки естественного языка с использованием технологий AI, оптимизация текстовых данных.;Специалист по обработке естественного языка с опытом в NLP-технологиях.;Python, NLP, обработка текстов;Высшее образование, Назарбаев Университет.
М;30;112000;AI Financial Fraud Analyst;Тбилиси;Полная занятость;Полный рабочий день;2 года 6 месяцев;FraudGuard Tech;AI Financial Fraud Analyst;Анализ данных финансовых операций, обнаружение мошенничества, предотвращение финансовых преступлений.;Специалист по анализу финансовых данных с опытом в предотвращении мошенничества.;Python, Financial Fraud Analysis, финансовая безопасность;Высшее образование, Тбилисский Государственный Университет.
Ж;29;80000;AI Medical Image Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 3 месяца;MedImage Insights;AI Medical Image Analyst;Анализ медицинских изображений с использованием технологий AI, диагностика заболеваний.;Специалист по анализу медицинских изображений с опытом в медицинской сфере.;Python, Medical Imaging, медицинская диагностика;Высшее образование, Алматинский Технический Университет.
М;31;116000;AI Investment Advisor;Баку;Полная занятость;Полный рабочий день;3 года;InvestTech Advisory;AI Investment Advisor;Предоставление рекомендаций по инвестированию на основе анализа финансовых данных и рыночных трендов.;Финансовый консультант с опытом в инвестициях и анализе данных.;Python, Investment Analysis, финансовая аналитика;Высшее образование, Бакинский Государственный Университет.
Ж;28;76000;AI Criminal Justice Analyst;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;JusticeInsight Tech;AI Criminal Justice Analyst;Анализ данных уголовной статистики, прогнозирование преступлений, оптимизация уголовной политики.;Специалист по анализу уголовных данных с опытом в правоохранительной сфере.;Python, Criminal Data Analysis, криминальная статистика;Высшее образование, Ташкентский Государственный Университет.
М;30;120000;AI E-commerce Strategist;Алматы;Полная занятость;Полный рабочий день;2 года 6 месяцев;EcomTech Solutions;AI E-commerce Strategist;Разработка стратегий для интернет-магазинов с использованием технологий AI, оптимизация продаж.;Специалист по стратегиям электронной коммерции с опытом в E-commerce.;Python, E-commerce Strategy, интернет-торговля;Высшее образование, Алматинский Технический Университет.
Ж;29;80000;AI Music Composition Developer;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;MusicAI Innovate;AI Music Composition Developer;Разработка музыкальных композиций с использованием технологий AI, создание уникальных мелодий.;Разработчик музыки с опытом в области музыкального творчества и AI.;Python, Music Composition, музыкальное творчество;Высшее образование, Ташкентский Государственный Университет.
М;31;124000;AI Agriculture Specialist;Алматы;Полная занятость;Полный рабочий день;3 года;AgriTech Innovations;AI Agriculture Specialist;Анализ данных сельского хозяйства, оптимизация процессов, повышение урожайности.;Специалист по анализу данных в сельском хозяйстве с опытом в оптимизации.;Python, Agricultural Data Analysis, сельское хозяйство;Высшее образование, Алматинский Технический Университет.
Ж;28;76000;AI Elderly Care Advisor;Бишкек;Полная занятость;Полный рабочий день;2 года 3 месяца;CareTech Solutions;AI Elderly Care Advisor;Разработка систем поддержки для пожилых людей с использованием технологий AI, улучшение качества жизни.;Специалист по уходу за пожилыми с опытом в создании систем поддержки.;Python, Elderly Care Tech, уход за пожилыми;Высшее образование, Кыргызский Государственный Университет.
М;30;128000;AI Retail Inventory Analyst;Астана;Полная занятость;Полный рабочий день;2 года 6 месяцев;RetailInsight Analytics;AI Retail Inventory Analyst;Анализ данных о товарном запасе в розничных магазинах, оптимизация управления инвентарем.;Специалист по анализу товарного запаса с опытом в розничной торговле.;Python, Inventory Analytics, управление запасами;Высшее образование, Национальный Университет Астаны.
Ж;29;80000;AI Art Curator;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;ArtSense Gallery;AI Art Curator;Анализ и курация художественных работ с использованием технологий AI, создание выставочных коллекций.;Куратор искусства с опытом в анализе и создании художественных выставок.;Python, Art Curation, искусство;Высшее образование, Ташкентский Государственный Университет.
М;31;132000;AI Language Education Developer;Нур-Султан;Полная занятость;Полный рабочий день;3 года;LanguageTech Innovations;AI Language Education Developer;Разработка образовательных платформ для изучения языков с использованием технологий AI, адаптивное обучение.;Разработчик образовательных платформ с опытом в языковом образовании.;Python, Language Education Tech, обучение языкам;Высшее образование, Назарбаев Университет.
Ж;28;76000;AI Mental Health Chatbot;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;MindTech Solutions;AI Mental Health Chatbot;Разработка чат-ботов для поддержки психического здоровья, консультирование пользователей.;Разработчик чат-ботов с опытом в психологической помощи и AI.;Python, Mental Health Tech, психотерапия;Высшее образование, Тбилисский Государственный Университет.
М;30;136000;AI Sports Analytics Specialist;Алматы;Полная занятость;Полный рабочий день;2 года 6 месяцев;SportsInsight Analytics;AI Sports Analytics Specialist;Анализ данных в области спорта, определение трендов, подготовка стратегий.;Специалист по анализу данных в спорте с опытом в спортивной аналитике.;Python, Sports Data Analysis, анализ тренировок;Высшее образование, Алматинский Технический Университет.
Ж;29;80000;AI Journalism Assistant;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;PressTech Solutions;AI Journalism Assistant;Анализ данных и автоматизация процессов в журналистике с использованием технологий AI.;Ассистент журналиста с опытом в анализе данных и мультимедийных материалов.;Python, Journalism Tech, медиа-анализ;Высшее образование, Ташкентский Государственный Университет.
М;31;140000;AI Healthcare Diagnostics Specialist;Бишкек;Полная занятость;Полный рабочий день;3 года;HealthTech Innovations;AI Healthcare Diagnostics Specialist;Анализ медицинских данных для диагностики заболеваний, разработка рекомендаций для лечения.;Специалист по медицинской диагностике с опытом в анализе данных.;Python, Healthcare Diagnostics, медицинская диагностика;Высшее образование, Кыргызский Государственный Университет.
Ж;28;76000;AI Culinary Innovator;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;CulinaryTech Creations;AI Culinary Innovator;Разработка новых рецептов и кулинарных идей с использованием технологий AI, эксперименты в кулинарии.;Инноватор в области кулинарии с опытом в создании блюд и рецептов.;Python, Culinary Innovation, кулинарное искусство;Высшее образование, Ташкентский Государственный Университет.
М;30;144000;AI Legal Researcher;Нур-Султан;Полная занятость;Полный рабочий день;2 года 6 месяцев;LawTech Insights;AI Legal Researcher;Анализ данных в правовой области, исследования норм и регуляций, разработка рекомендаций.;Исследователь в правовой области с опытом в анализе данных.;Python, Legal Research, юридические исследования;Высшее образование, Назарбаев Университет.
Ж;29;80000;AI Child Psychology Advisor;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;ChildMind Tech;AI Child Psychology Advisor;Психологическая поддержка детей с использованием технологий AI, консультирование родителей.;Психолог для детей с опытом в детской психологии и технологиях AI.;Python, Child Psychology, детская психотерапия;Высшее образование, Тбилисский Государственный Университет.
М;31;148000;AI Aerospace Engineer;Алматы;Полная занятость;Полный рабочий день;3 года;AeroTech Innovations;AI Aerospace Engineer;Разработка алгоритмов для космических систем с использованием технологий AI, оптимизация миссий.;Инженер аэрокосмической техники с опытом в разработке систем.;Python, Aerospace Engineering, аэрокосмическая инженерия;Высшее образование, Алматинский Технический Университет.
Ж;28;76000;AI Climate Change Analyst;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;ClimateAware Research;AI Climate Change Analyst;Анализ данных климатических изменений, определение трендов, разработка рекомендаций для устойчивости.;Специалист по анализу климатических данных с опытом в экологии и устойчивости.;Python, Climate Data Analysis, климатические изменения;Высшее образование, Ташкентский Государственный Университет.
М;30;152000;AI Investment Banking Analyst;Нур-Султан;Полная занятость;Полный рабочий день;2 года 6 месяцев;InvestBank Tech;AI Investment Banking Analyst;Анализ данных в инвестиционном банкинге, оценка финансовых инструментов, разработка стратегий.;Специалист по анализу инвестиционных данных с опытом в банковской сфере.;Python, Investment Banking Analysis, инвестиционный банкинг;Высшее образование, Назарбаев Университет.
Ж;29;80000;AI Social Media Analyst;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;SocialSense Analytics;AI Social Media Analyst;Анализ данных социальных медиа, определение трендов, разработка маркетинговых стратегий.;Специалист по анализу социальных медиа с опытом в маркетинге и аналитике.;Python, Social Media Analysis, социальные медиа;Высшее образование, Тбилисский Государственный Университет.
М;31;156000;AI Urban Planning Specialist;Алматы;Полная занятость;Полный рабочий день;3 года;UrbanTech Innovations;AI Urban Planning Specialist;Анализ городской среды, оптимизация инфраструктуры, создание устойчивых городских планов.;Специалист по городскому планированию с опытом в анализе городской среды.;Python, Urban Planning, городское планирование;Высшее образование, Алматинский Технический Университет.
Ж;28;76000;AI Fashion Trend Forecaster;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;FashionSense Insights;AI Fashion Trend Forecaster;Прогнозирование модных тенденций с использованием технологий AI, анализ данных о моде.;Аналитик модных тенденций с опытом в индустрии моды.;Python, Fashion Analysis, мода;Высшее образование, Ташкентский Государственный Университет.
М;30;160000;AI Traffic Management Specialist;Алматы;Полная занятость;Полный рабочий день;2 года 6 месяцев;TrafficTech Solutions;AI Traffic Management Specialist;Оптимизация дорожного движения с использованием технологий AI, улучшение инфраструктуры.;Специалист по управлению дорожным движением с опытом в инфраструктуре.;Python, Traffic Management, дорожное движение;Высшее образование, Алматинский Технический Университет.
Ж;29;80000;AI Mental Wellness Coach;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;WellnessTech Solutions;AI Mental Wellness Coach;Психологическая поддержка и советы для улучшения психического благополучия с использованием технологий AI.;Психолог с опытом в психотерапии и психическом благополучии.;Python, Mental Wellness, психологическая помощь;Высшее образование, Тбилисский Государственный Университет.
М;31;164000;AI Environmental Analyst;Баку;Полная занятость;Полный рабочий день;3 года;EcoAware Research;AI Environmental Analyst;Анализ экологических данных, определение уровня загрязнения, разработка стратегий по охране окружающей среды.;Специалист по анализу экологических данных с опытом в экологии и охране природы.;Python, Environmental Analysis, охрана окружающей среды;Высшее образование, Бакинский Государственный Университет.
Ж;28;76000;AI Music Therapist;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;MusicHeal Therapy;AI Music Therapist;Терапия через музыку с использованием технологий AI, создание релаксационных композиций.;Музыкальный терапевт с опытом в использовании музыки для лечения.;Python, Music Therapy, музыкальная терапия;Высшее образование, Ташкентский Государственный Университет.
М;30;168000;AI Telecom Infrastructure Engineer;Астана;Полная занятость;Полный рабочий день;2 года 6 месяцев;TelecomTech Innovations;AI Telecom Infrastructure Engineer;Разработка и оптимизация инфраструктуры телекоммуникаций с использованием технологий AI.;Инженер телекоммуникаций с опытом в разработке инфраструктуры.;Python, Telecom Infrastructure, телекоммуникации;Высшее образование, Национальный Университет Астаны.
Ж;29;80000;AI Personal Fitness Coach;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;FitTech Solutions;AI Personal Fitness Coach;Персональные тренировки и рекомендации для фитнеса с использованием технологий AI.;Тренер по фитнесу с опытом в индивидуальных тренировках.;Python, Fitness Coaching, фитнес;Высшее образование, Тбилисский Государственный Университет.
М;31;172000;AI Law Enforcement Analyst;Бишкек;Полная занятость;Полный рабочий день;3 года;LawEnforce Tech;AI Law Enforcement Analyst;Анализ данных для правоохранительных органов, определение тенденций, помощь в расследованиях.;Специалист по анализу правоохранительных данных с опытом в сфере правопорядка.;Python, Law Enforcement Analysis, правоохранительная деятельность;Высшее образование, Кыргызский Государственный Университет.
Ж;28;76000;AI Wildlife Conservationist;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;WildLifeGuard Research;AI Wildlife Conservationist;Анализ данных о дикой природе, разработка стратегий по сохранению видов.;Специалист по сохранению дикой природы с опытом в охране природы.;Python, Wildlife Conservation, охрана природы;Высшее образование, Ташкентский Государственный Университет.
М;30;176000;AI Retail Customer Experience Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 6 месяцев;RetailExperience Insights;AI Retail Customer Experience Analyst;Анализ опыта покупателей в розничных магазинах, оптимизация клиентского опыта.;Специалист по анализу клиентского опыта с опытом в розничной торговле.;Python, Customer Experience Analysis, клиентский опыт;Высшее образование, Алматинский Технический Университет.
Ж;29;80000;AI Veterinary Consultant;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;VetTech Solutions;AI Veterinary Consultant;Консультирование по вопросам ветеринарии с использованием технологий AI, помощь в диагностике.;Ветеринарный консультант с опытом в ветеринарной медицине и AI.;Python, Veterinary Consultation, ветеринария;Высшее образование, Тбилисский Государственный Университет.
М;31;180000;AI Supply Chain Analyst;Астана;Полная занятость;Полный рабочий день;3 года;SupplyChainTech Insights;AI Supply Chain Analyst;Анализ цепи поставок, оптимизация процессов, прогнозирование спроса.;Специалист по анализу цепи поставок с опытом в оптимизации.;Python, Supply Chain Analysis, логистика;Высшее образование, Национальный Университет Астаны.
Ж;28;76000;AI Language Education Developer;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;LanguageTech Innovations;AI Language Education Developer;Разработка образовательных платформ для изучения языков с использованием технологий AI, адаптивное обучение.;Разработчик образовательных платформ с опытом в языковом образовании.;Python, Language Education Tech, обучение языкам;Высшее образование, Ташкентский Государственный Университет.
М;31;184000;AI Traffic Safety Engineer;Алматы;Полная занятость;Полный рабочий день;3 года;TrafficSafetyTech Innovations;AI Traffic Safety Engineer;Разработка систем для обеспечения безопасности дорожного движения с использованием технологий AI.;Инженер по безопасности дорожного движения с опытом в обеспечении безопасности.;Python, Traffic Safety, безопасность дорожного движения;Высшее образование, Алматинский Технический Университет.
Ж;29;80000;AI Virtual Reality Artist;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;VRArt Innovate;AI Virtual Reality Artist;Творчество в виртуальной реальности с использованием технологий AI, создание визуальных миров.;Художник виртуальной реальности с опытом в VR-творчестве.;Python, VR Art, виртуальное искусство;Высшее образование, Ташкентский Государственный Университет.
М;30;188000;AI Marketing Strategist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 6 месяцев;MarketingTech Solutions;AI Marketing Strategist;Разработка маркетинговых стратегий с использованием технологий AI, оптимизация продвижения.;Специалист по маркетингу с опытом в разработке стратегий и анализе.;Python, Marketing Strategy, маркетинг;Высшее образование, Назарбаев Университет.
Ж;28;76000;AI Sports Performance Analyst;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;SportsPerfTech Insights;AI Sports Performance Analyst;Анализ данных о спортивной производительности, оптимизация тренировок, повышение результатов.;Специалист по анализу спортивной производительности с опытом в аналитике.;Python, Sports Performance Analysis, спортивная аналитика;Высшее образование, Тбилисский Государственный Университет.
М;31;192000;AI Healthcare Robotics Engineer;Алматы;Полная занятость;Полный рабочий день;3 года;RoboHealth Innovations;AI Healthcare Robotics Engineer;Разработка медицинских роботов с использованием технологий AI, автоматизация медицинских процедур.;Инженер по медицинской робототехнике с опытом в разработке роботов.;Python, Healthcare Robotics, медицинская робототехника;Высшее образование, Алматинский Технический Университет.
Ж;29;80000;AI Data Privacy Specialist;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;PrivacyTech Solutions;AI Data Privacy Specialist;Обеспечение конфиденциальности данных с использованием технологий AI, разработка политик конфиденциальности.;Специалист по конфиденциальности данных с опытом в обеспечении конфиденциальности.;Python, Data Privacy, конфиденциальность данных;Высшее образование, Ташкентский Государственный Университет.
М;30;196000;AI Renewable Energy Analyst;Астана;Полная занятость;Полный рабочий день;2 года 6 месяцев;EcoEnergy Insights;AI Renewable Energy Analyst;Анализ данных об альтернативных источниках энергии, оптимизация энергетических процессов.;Специалист по анализу данных об альтернативных источниках энергии с опытом в энергетике.;Python, Renewable Energy Analysis, альтернативная энергетика;Высшее образование, Национальный Университет Астаны.
Ж;28;76000;AI Customer Support Specialist;Ташкент;Полная занятость;Полный рабочий день;2 года 3 месяца;SupportTech Solutions;AI Customer Support Specialist;Техническая поддержка клиентов с использованием технологий AI, решение проблем.;Специалист по технической поддержке с опытом в обслуживании клиентов.;Python, Customer Support, клиентская поддержка;Высшее образование, Ташкентский Государственный Университет.
М;31;200000;AI Financial Advisor;Нур-Султан;Полная занятость;Полный рабочий день;2 года 6 месяцев;FinanceAI Solutions;AI Financial Advisor;Финансовые консультации и анализ с использованием технологий AI, управление портфелем.;Финансовый консультант с опытом в анализе и управлении портфелем.;Python, Financial Analysis, финансовая консультация;Высшее образование, Назарбаев Университет.
Ж;28;76000;AI Elderly Companion;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;ElderlyTech Care;AI Elderly Companion;Поддержка пожилых людей с использованием технологий AI, обеспечение качества жизни.;Сопровождающий для пожилых людей с опытом в уходе и компаньонстве.;Python, Elderly Care, уход за пожилыми;Высшее образование, Тбилисский Государственный Университет.
М;30;204000;AI Retail Personalization Specialist;Алматы;Полная занятость;Полный рабочий день;3 года;RetailPersonalize Insights;AI Retail Personalization Specialist;Персонализация магазинов и услуг с использованием технологий AI, улучшение клиентского опыта.;Специалист по персонализации с опытом в розничной торговле и маркетинге.;Python, Retail Personalization, персонализация услуг;Высшее образование, Алматинский Технический Университет.
М;29;78000;AI Computer Vision Specialist;Москва;Полная занятость;Полный рабочий день;2 года;VisionTech Co.;AI Computer Vision Specialist;Разработка алгоритмов обработки изображений для медицинских целей, сегментация органов.;Специалист по компьютерному зрению с опытом работы в медицинской области.;Python, OpenCV, медицинские данные;Высшее образование, Московский Технический Университет.
Ж;25;72000;AI Trading Strategist;Астана;Полная занятость;Полный рабочий день;1 год 6 месяцев;TradeAI Solutions;AI Trading Strategist;Разработка алгоритмов для предсказания изменения цен акций, оптимизация стратегий.;Специалист по трейдингу с опытом работы в анализе финансовых данных.;Python, Machine Learning, финансовые данные;Высшее образование, Национальный Университет Астаны.
М;28;90000;AI Chatbot Developer;Минск;Полная занятость;Полный рабочий день;2 года 3 месяца;BotGenius;AI Chatbot Developer;Разработка чат-ботов для обслуживания клиентов в сфере e-commerce, интеграция с платежными системами.;Разработчик чат-ботов с опытом в e-commerce.;Python, Natural Language Processing, чат-боты;Высшее образование, Белорусский Государственный Университет.
Ж;27;105000;AI HR Manager;Тбилиси;Полная занятость;Полный рабочий день;3 года;HR Tech Solutions;AI HR Manager;Оптимизация процессов подбора персонала с использованием алгоритмов машинного обучения, анализ резюме.;HR-специалист с опытом в разработке алгоритмов для подбора персонала.;Python, Machine Learning, управление человеческими ресурсами;Высшее образование, Тбилисский Государственный Университет.
М;30;120000;AI Event Prediction Analyst;Ереван;Полная занятость;Полный рабочий день;3 года;EventForecast AI;AI Event Prediction Analyst;Прогнозирование массовых событий на основе анализа социальных данных, оценка вероятности наступления.;Аналитик по прогнозированию событий с опытом работы в анализе данных.;Python, Data Analysis, социальные данные;Высшее образование, Ереванский Государственный Университет.
Ж;26;76000;AI Data Scientist;Нур-Султан;Полная занятость;Полный рабочий день;2 года 9 месяцев;DataInsight Labs;AI Data Scientist;Анализ больших данных для оптимизации производства в промышленности, предсказание отказов оборудования.;Специалист по анализу данных с опытом в промышленной сфере.;Python, Machine Learning, большие данные;Высшее образование, Назарбаев Университет.
М;29;84000;AI Autonomous Vehicle Engineer;Баку;Полная занятость;Полный рабочий день;2 года 6 месяцев;AutoDrive Innovations;AI Autonomous Vehicle Engineer;Разработка алгоритмов для управления беспилотными автомобилями, обеспечение безопасности движения.;Инженер по разработке беспилотных автомобилей с опытом в автономных системах.;Python, Robotics, автономные системы;Высшее образование, Бакинский Государственный Университет.
Ж;28;72000;AI Language Processing Specialist;Москва;Полная занятость;Полный рабочий день;2 года 3 месяца;LinguaTech AI;AI Language Processing Specialist;Разработка алгоритмов обработки и анализа текстов на естественном языке, создание моделей машинного перевода.;Специалист по обработке текстов с опытом в NLP.;Python, NLP, машинный перевод;Высшее образование, Московский Государственный Университет.
М;31;128000;AI Data Analyst;Алматы;Полная занятость;Полный рабочий день;3 года;DataWave Corp.;AI Data Analyst;Анализ и визуализация данных о клиентских предпочтениях, оптимизация маркетинговых стратегий.;Аналитик данных с опытом в маркетинговой аналитике.;Python, Data Analysis, визуализация данных;Высшее образование, Алматинский Технический Университет.
Ж;27;90000;AI Drone Systems Engineer;Ереван;Полная занятость;Полный рабочий день;2 года 6 месяцев;SkyTech Innovations;AI Drone Systems Engineer;Разработка автономных систем для беспилотных летательных аппаратов, навигация, избежание препятствий.;Инженер по разработке систем для беспилотных аппаратов с опытом в авиационных технологиях.;Python, Robotics, навигация;Высшее образование, Ереванский Политехнический Университет.
М;29;95000;AI Healthcare Analyst;Астана;Полная занятость;Полный рабочий день;2 года 9 месяцев;MedAI Solutions;AI Healthcare Analyst;Анализ медицинских данных, определение паттернов и трендов, создание рекомендаций для лечения.;Аналитик в медицинской сфере с опытом в анализе медицинских данных.;Python, Medical Data Analysis, медицинские данные;Высшее образование, Национальный Медицинский Университет.
Ж;26;80000;AI Financial Analyst;Тбилиси;Полная занятость;Полный рабочий день;2 года;FinAnalytica;AI Financial Analyst;Анализ финансовых данных, оценка рисков, создание портфельных стратегий.;Финансовый аналитик с опытом в анализе финансовых рынков.;Python, Financial Analysis, риск-анализ;Высшее образование, Тбилисский Государственный Университет.
М;30;112000;AI Robotics Engineer;Минск;Полная занятость;Полный рабочий день;3 года;RoboTech Labs;AI Robotics Engineer;Разработка алгоритмов управления роботами для выполнения задач в производстве, автоматизация процессов.;Инженер по робототехнике с опытом работы в автоматизации производства.;Python, Robotics, автоматизация;Высшее образование, Белорусский Государственный Университет.
Ж;27;78000;AI Virtual Assistant Developer;Алматы;Полная занятость;Полный рабочий день;2 года 3 месяца;VirtuAid Tech;AI Virtual Assistant Developer;Разработка виртуальных помощников для бизнеса, интеграция с CRM системами.;Разработчик виртуальных ассистентов с опытом интеграции в CRM.;Python, Virtual Assistants, интеграция CRM;Высшее образование, Алматинский Технический Университет.
М;28;96000;AI Supply Chain Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 6 месяцев;SupplyAI Solutions;AI Supply Chain Analyst;Оптимизация логистических процессов, анализ поставок, прогнозирование спроса.;Специалист по логистике с опытом в анализе поставок и спроса.;Python, Supply Chain Optimization, логистика;Высшее образование, Ереванский Государственный Университет.
Ж;25;72000;AI Image Processing Specialist;Москва;Полная занятость;Полный рабочий день;1 год 9 месяцев;ImageTech Labs;AI Image Processing Specialist;Разработка алгоритмов обработки изображений для медицинских и промышленных целей.;Специалист по обработке изображений с опытом в медицинской и промышленной сферах.;Python, Image Processing, медицинские данные;Высшее образование, Московский Технический Университет.
М;29;108000;AI Investment Advisor;Баку;Полная занятость;Полный рабочий день;3 года;InvestAI Strategies;AI Investment Advisor;Разработка алгоритмов для определения перспективных инвестиционных активов, рекомендации клиентам.;Финансовый консультант с опытом в разработке алгоритмов для инвестирования.;Python, Investment Analysis, финансовые данные;Высшее образование, Бакинский Государственный Университет.
